Frame,DroneE,DroneN,RGVE,RGVN
243,-6.832177261928759,-4.442507303564802,0,0
244,-6.832177261928759,-4.442507303564802,0,0
245,-6.917579579103567,-4.553569984613702,0,0
246,-6.917579579103567,-4.553569984613702,0,0
247,-6.917579579103567,-4.553569984613702,0,0
248,-6.917579680219803,-4.664632742638153,0,0
249,-6.917579680219803,-4.664632742638153,0,0
250,-6.917579680219803,-4.664632742638153,0,0
251,-7.002981999742177,-4.775695423848624,0,0
252,-7.002981999742177,-4.775695423848624,0,0
253,-7.002981999742177,-4.775695423848624,0,0
254,-7.088384323164351,-4.886758103259945,0,0
255,-7.088384323164351,-4.886758103259945,0,0
256,-7.088384323164351,-4.886758103259945,0,0
257,-7.173786544081984,-4.8867580235048145,0,0
258,-7.173786544081984,-4.8867580235048145,0,0
259,-7.173786544081984,-4.8867580235048145,0,0
260,-7.259188871219791,-4.9978207012701485,0,0
261,-7.259188871219791,-4.9978207012701485,0,0
262,-7.259188871219791,-4.9978207012701485,0,0
263,-7.344591092443011,-4.99782061908612,0,0
264,-7.344591092443011,-4.99782061908612,0,0
265,-7.344591092443011,-4.99782061908612,0,0
266,-7.429993423276215,-5.108883295465867,0,0
267,-7.429993423276215,-5.108883295465867,0,0
268,-7.429993423276215,-5.108883295465867,0,0
269,-7.515395645907975,-5.108883211666802,0,0
270,-7.515395645907975,-5.108883211666802,0,0
271,-7.515395645907975,-5.108883211666802,0,0
272,-7.515395755783072,-5.2199459697491335,0,0
273,-7.515395755783072,-5.2199459697491335,0,0
274,-7.515395755783072,-5.2199459697491335,0,0
275,-7.600797980477051,-5.219945885070173,0,0
276,-7.600797980477051,-5.219945885070173,0,0
277,-7.600797980477051,-5.219945885070173,0,0
278,-7.6862002052115015,-5.219945799157085,0,0
279,-7.6862002052115015,-5.219945799157085,0,0
280,-7.6862002052115015,-5.219945799157085,0,0
281,-7.771602543475973,-5.331008470104882,0,0
282,-7.771602543475973,-5.331008470104882,0,0
283,-7.771602543475973,-5.331008470104882,0,0
284,-7.8570047684957744,-5.331008382379959,0,0
285,-7.8570047684957744,-5.331008382379959,0,0
286,-7.8570047684957744,-5.331008382379959,0,0
287,-7.8570047684957744,-5.331008382379959,0,0
288,-7.8570047684957744,-5.331008382379959,0,0
289,-7.8570047684957744,-5.331008382379959,0,0
290,-7.942407110190533,-5.4420710545635895,0,0
291,-7.942407110190533,-5.4420710545635895,0,0
292,-7.942407110190533,-5.4420710545635895,0,0
293,-8.02780933663911,-5.442070964606566,0,0
